Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,50.005.000.000,50.281.000.000,46.484.000.000,46.908.000.000,46.908.000.000,77719800
2015-02-01,46.933.000.000,52.457.000.000,46.760.000.000,51.583.000.000,51.583.000.000,65310100
2015-03-01,51.580.000.000,52.319.000.000,47.905.000.000,51.150.000.000,51.150.000.000,79890000
2015-04-01,51.186.000.000,56.965.000.000,51.186.000.000,56.229.000.000,56.229.000.000,81114600
2015-05-01,56.230.000.000,58.575.000.000,52.760.000.000,52.760.000.000,52.760.000.000,67845700
2015-06-01,52.753.000.000,54.361.000.000,52.548.000.000,53.081.000.000,53.081.000.000,61236200
2015-07-01,53.081.000.000,53.456.000.000,48.624.000.000,50.865.000.000,50.865.000.000,65571800
2015-08-01,50.867.000.000,50.867.000.000,42.749.000.000,46.626.000.000,46.626.000.000,71135200
2015-09-01,46.625.000.000,49.396.000.000,43.767.000.000,45.059.000.000,45.059.000.000,79146200
2015-10-01,45.064.000.000,49.752.000.000,44.789.000.000,45.869.000.000,45.869.000.000,78617500
2015-11-01,45.869.000.000,49.054.000.000,45.106.000.000,45.120.000.000,45.120.000.000,66640000
2015-12-01,45.121.000.000,47.142.000.000,43.137.000.000,43.350.000.000,43.350.000.000,64358600
2016-01-01,43.349.000.000,43.349.000.000,37.046.000.000,40.406.000.000,40.406.000.000,70039500
2016-02-01,40.397.000.000,43.601.000.000,38.596.000.000,42.794.000.000,42.794.000.000,73592000
2016-03-01,42.795.000.000,52.262.000.000,42.795.000.000,50.055.000.000,50.055.000.000,121365300
2016-04-01,50.054.000.000,54.978.000.000,47.874.000.000,53.911.000.000,53.911.000.000,88910200
2016-05-01,53.910.000.000,54.113.000.000,48.292.000.000,48.472.000.000,48.472.000.000,79045000
2016-06-01,48.468.000.000,51.812.000.000,48.067.000.000,51.527.000.000,51.527.000.000,79032100
2016-07-01,51.540.000.000,57.474.000.000,50.825.000.000,57.308.000.000,57.308.000.000,75165800
2016-08-01,57.309.000.000,59.418.000.000,55.696.000.000,57.901.000.000,57.901.000.000,80937900
2016-09-01,57.901.000.000,60.310.000.000,56.459.000.000,58.367.000.000,58.367.000.000,68141200
2016-10-01,58.370.000.000,65.054.000.000,58.367.000.000,64.925.000.000,64.925.000.000,74450900
2016-11-01,64.922.000.000,65.291.000.000,58.322.000.000,61.906.000.000,61.906.000.000,83065700
2016-12-01,61.906.000.000,61.936.000.000,56.829.000.000,60.227.000.000,60.227.000.000,64108500
2017-01-01,60.227.000.000,66.594.000.000,59.371.000.000,64.671.000.000,64.671.000.000,60057300
2017-02-01,64.687.000.000,69.488.000.000,63.740.000.000,66.662.000.000,66.662.000.000,56775200
2017-03-01,66.661.000.000,67.398.000.000,62.496.000.000,64.984.000.000,64.984.000.000,73694400
2017-04-01,64.989.000.000,66.211.000.000,62.826.000.000,65.403.000.000,65.403.000.000,51935600
2017-05-01,65.404.000.000,68.792.000.000,60.315.000.000,62.711.000.000,62.711.000.000,86770000
2017-06-01,62.711.000.000,63.637.000.000,60.544.000.000,62.900.000.000,62.900.000.000,65351300
2017-07-01,62.901.000.000,66.048.000.000,62.035.000.000,65.920.000.000,65.920.000.000,53755900
2017-08-01,65.925.000.000,71.506.000.000,65.925.000.000,70.835.000.000,70.835.000.000,68162600
2017-09-01,70.848.000.000,76.420.000.000,70.846.000.000,74.294.000.000,74.294.000.000,68909400
2017-10-01,74.295.000.000,78.024.000.000,73.845.000.000,74.308.000.000,74.308.000.000,65846200
2017-11-01,74.310.000.000,75.199.000.000,70.825.000.000,71.971.000.000,71.971.000.000,65167600
2017-12-01,71.955.000.000,76.437.000.000,71.356.000.000,76.402.000.000,76.402.000.000,54645300
2018-01-01,76.403.000.000,86.213.000.000,76.403.000.000,84.913.000.000,84.913.000.000,71837300
2018-02-01,84.913.000.000,88.318.000.000,79.690.000.000,85.481.000.000,85.481.000.000,71597200
2018-03-01,85.337.000.000,87.333.000.000,82.889.000.000,85.366.000.000,85.366.000.000,70136200
2018-04-01,85.365.000.000,87.179.000.000,82.762.000.000,86.115.000.000,86.115.000.000,61917800
2018-05-01,86.111.000.000,86.678.000.000,75.337.000.000,76.754.000.000,76.754.000.000,96407700
2018-06-01,76.779.000.000,78.892.000.000,69.069.000.000,72.763.000.000,72.763.000.000,93312000
2018-07-01,72.763.000.000,80.589.000.000,71.935.000.000,79.220.000.000,79.220.000.000,63627800
2018-08-01,79.213.000.000,81.792.000.000,74.876.000.000,76.678.000.000,76.678.000.000,77877000
2018-09-01,76.675.000.000,80.107.000.000,74.275.000.000,79.342.000.000,79.342.000.000,59194500
2018-10-01,79.350.000.000,88.377.000.000,78.091.000.000,87.424.000.000,87.424.000.000,110546700
2018-11-01,87.428.000.000,90.246.000.000,84.030.000.000,89.504.000.000,89.504.000.000,83697300
2018-12-01,89.511.000.000,91.242.000.000,83.892.000.000,87.887.000.000,87.887.000.000,79750200
2019-01-01,87.887.000.000,98.405.000.000,87.536.000.000,97.394.000.000,97.394.000.000,101237300
2019-02-01,97.395.000.000,98.589.000.000,93.424.000.000,95.584.000.000,95.584.000.000,95001600
2019-03-01,95.584.000.000,100.439.000.000,91.584.000.000,95.415.000.000,95.415.000.000,86699500
2019-04-01,95.423.000.000,97.610.000.000,92.338.000.000,96.353.000.000,96.353.000.000,90379400
2019-05-01,96.339.000.000,97.992.000.000,89.409.000.000,97.030.000.000,97.030.000.000,98077700
2019-06-01,97.036.000.000,102.617.000.000,95.686.000.000,100.967.000.000,100.967.000.000,88248100
2019-07-01,100.973.000.000,106.650.000.000,100.073.000.000,101.812.000.000,101.812.000.000,94472500
2019-08-01,101.819.000.000,104.848.000.000,95.855.000.000,101.135.000.000,101.135.000.000,118683900
2019-09-01,101.133.000.000,106.001.000.000,99.406.000.000,104.745.000.000,104.745.000.000,93206100
2019-10-01,104.745.000.000,108.408.000.000,99.826.000.000,107.220.000.000,107.220.000.000,103190700
2019-11-01,107.221.000.000,109.672.000.000,105.261.000.000,108.233.000.000,108.233.000.000,95992100
2019-12-01,108.246.000.000,117.803.000.000,108.190.000.000,115.645.000.000,115.645.000.000,99879900
2020-01-01,115.652.000.000,119.593.000.000,112.825.000.000,113.761.000.000,113.761.000.000,122061200
2020-02-01,113.761.000.000,117.701.000.000,99.951.000.000,104.172.000.000,104.172.000.000,122284500
2020-03-01,104.260.000.000,108.804.000.000,61.691.000.000,73.020.000.000,73.020.000.000,270525000
2020-04-01,73.011.000.000,83.598.000.000,67.802.000.000,80.506.000.000,80.506.000.000,209517900
2020-05-01,80.501.000.000,88.091.000.000,75.697.000.000,87.403.000.000,87.403.000.000,220355900
2020-06-01,87.395.000.000,97.693.000.000,86.837.000.000,95.056.000.000,95.056.000.000,232321100
2020-07-01,95.062.000.000,105.704.000.000,95.062.000.000,102.912.000.000,102.912.000.000,212054200
2020-08-01,102.913.000.000,104.523.000.000,98.513.000.000,99.369.000.000,99.369.000.000,202682200
2020-09-01,99.382.000.000,103.226.000.000,93.408.000.000,94.603.000.000,94.603.000.000,182459100
2020-10-01,94.604.000.000,102.218.000.000,93.387.000.000,93.952.000.000,93.952.000.000,198128300
2020-11-01,93.968.000.000,111.603.000.000,93.968.000.000,108.888.000.000,108.888.000.000,217759400
2020-12-01,108.897.000.000,120.150.000.000,108.897.000.000,119.306.000.000,119.306.000.000,177044900
2021-01-01,119.024.000.000,125.324.000.000,114.887.000.000,116.007.000.000,116.007.000.000,186733700
2021-02-01,115.093.000.000,121.117.000.000,109.827.000.000,110.035.000.000,110.035.000.000,190633700
2021-03-01,110.036.000.000,117.249.000.000,107.319.000.000,116.634.000.000,116.634.000.000,215718800
2021-04-01,116.644.000.000,121.974.000.000,114.991.000.000,118.894.000.000,118.894.000.000,158707300
2021-05-01,118.951.000.000,126.216.000.000,117.631.000.000,126.216.000.000,126.216.000.000,171080700
2021-06-01,126.218.000.000,131.190.000.000,126.184.000.000,126.802.000.000,126.802.000.000,197840500
2021-07-01,126.802.000.000,129.620.000.000,121.748.000.000,121.801.000.000,121.801.000.000,152098400
2021-08-01,121.803.000.000,124.536.000.000,114.801.000.000,118.781.000.000,118.781.000.000,201788600
2021-09-01,118.793.000.000,119.942.000.000,107.520.000.000,110.979.000.000,110.979.000.000,231540400
2021-10-01,110.980.000.000,114.927.000.000,102.854.000.000,103.501.000.000,103.501.000.000,243860400
2021-11-01,103.514.000.000,108.669.000.000,100.075.000.000,101.915.000.000,101.915.000.000,236342500
2021-12-01,101.916.000.000,109.493.000.000,100.727.000.000,104.822.000.000,104.822.000.000,234055900
2022-01-01,104.823.000.000,113.057.000.000,100.850.000.000,112.388.000.000,112.388.000.000,245216600
2022-02-01,112.143.000.000,115.734.000.000,109.125.000.000,113.142.000.000,113.142.000.000,224030100
2022-03-01,113.143.000.000,120.900.000.000,107.781.000.000,119.999.000.000,119.999.000.000,268389000
2022-04-01,120.001.000.000,121.628.000.000,107.876.000.000,107.876.000.000,107.876.000.000,203123000
2022-05-01,107.876.000.000,112.690.000.000,102.386.000.000,111.351.000.000,111.351.000.000,276328500
2022-06-01,111.351.000.000,112.709.000.000,97.758.000.000,98.542.000.000,98.542.000.000,243623000
2022-07-01,98.542.000.000,103.989.000.000,95.267.000.000,103.165.000.000,103.165.000.000,230772200
2022-08-01,103.165.000.000,114.375.000.000,101.694.000.000,109.523.000.000,109.523.000.000,297125100
2022-09-01,109.524.000.000,114.392.000.000,106.244.000.000,110.037.000.000,110.037.000.000,288740800
2022-10-01,110.048.000.000,120.752.000.000,110.048.000.000,116.037.000.000,116.037.000.000,301259400
2022-11-01,116.037.000.000,120.039.000.000,107.245.000.000,112.486.000.000,112.486.000.000,339625200
2022-12-01,112.479.000.000,113.761.000.000,101.632.000.000,110.031.000.000,110.031.000.000,307111200