Data,28183 - Saldo de crédito R$ (milhões)
01/2015,6.752.013
02/2015,6.920.306
03/2015,7.174.582
04/2015,7.119.162
05/2015,7.263.303
06/2015,7.334.117
07/2015,7.482.023
08/2015,7.666.697
09/2015,7.827.482
10/2015,7.721.506
11/2015,7.784.953
12/2015,7.930.467
01/2016,7.930.745
02/2016,7.971.911
03/2016,7.873.033
04/2016,7.749.846
05/2016,7.876.751
06/2016,7.813.772
07/2016,7.826.632
08/2016,7.834.447
09/2016,7.910.064
10/2016,7.867.264
11/2016,7.998.011
12/2016,8.005.840
01/2017,7.887.072
02/2017,7.946.668
03/2017,8.090.964
04/2017,8.091.149
05/2017,8.106.852
06/2017,8.263.846
07/2017,8.157.713
08/2017,8.263.298
09/2017,8.296.732
10/2017,8.363.911
11/2017,8.440.134
12/2017,8.575.690
01/2018,8.459.155
02/2018,8.532.761
03/2018,8.595.504
04/2018,8.680.082
05/2018,8.828.695
06/2018,8.942.068
07/2018,8.923.829
08/2018,9.126.882
09/2018,9.097.967
10/2018,8.959.495
11/2018,9.184.146
12/2018,9.349.500
01/2019,9.186.463
02/2019,9.314.463
03/2019,9.457.414
04/2019,9.455.572
05/2019,9.550.146
06/2019,9.631.304
07/2019,9.630.288
08/2019,9.874.489
09/2019,10.002.644
10/2019,9.943.191
11/2019,10.147.648
12/2019,10.229.031
01/2020,10.284.082
02/2020,10.436.918
03/2020,10.686.348
04/2020,10.738.162
05/2020,10.829.602
06/2020,11.019.393
07/2020,10.949.713
08/2020,11.161.086
09/2020,11.398.869
10/2020,11.606.428
11/2020,11.706.202
12/2020,11.952.150
01/2021,12.094.245
02/2021,12.290.760
03/2021,12.484.257
04/2021,12.304.024
05/2021,12.404.779
06/2021,12.545.693
07/2021,12.723.763
08/2021,12.921.788
09/2021,13.082.784
10/2021,13.158.930
11/2021,13.384.553
12/2021,13.612.111
01/2022,13.530.844
02/2022,13.641.363
03/2022,13.427.895
04/2022,13.607.548
05/2022,13.738.696
06/2022,14.146.368
07/2022,14.180.857
08/2022,14.257.314
09/2022,14.438.901
10/2022,14.489.857
11/2022,14.745.514
12/2022,14.931.112